categoria,pregunta,respuesta
Facturación,¿Qué es el Cargo Fijo de mi boleta?,"Es un monto mensual que cobra la distribuidora por mantener la conexión y el servicio de medición, independiente de cuánta energía se consuma. Aparece en prácticamente todas las tarifas (BT1 a AT4.3)."
Consumo provisorio,¿Por qué mi boleta dice 'consumo provisorio'?,Significa que la distribuidora no pudo tomar la lectura real del medidor ese mes y facturó una estimación basada en el consumo de referencia de meses anteriores. No es un error ni una sanción.
Consumo provisorio,¿Cuándo se corrige un consumo provisorio?,"Cuando vuelve la lectura real, la distribuidora compara el consumo estimado con el real y aplica un ajuste llamado 'Devolución Provisorio', a favor o en contra del cliente según corresponda."
Consumo provisorio,¿Qué pasa si llevo varios meses seguidos con consumo provisorio?,Un mes aislado es normal. Tres o más meses seguidos es señal de un problema de acceso o de equipo sin resolver y conviene escalarlo a la distribuidora.
CNR,¿Qué es el Consumo No Registrado (CNR)?,"Es un cobro retroactivo por consumo real no facturado en meses pasados debido a una falla o irregularidad del medidor. Se rige por el D.S. N°327/1997 y la R.Ex. N°1.952/2009 de la SEC, modificada por la R.Ex. N°2.520/2009."
CNR,¿Por cuántos meses me pueden cobrar un CNR?,"Máximo 3 meses si la causa no es imputable al cliente (falla del medidor, error del concesionario). Hasta 12 meses si es imputable al cliente (manipulación, conexión clandestina, negativa de acceso acreditada)."
CNR,¿La distribuidora puede cobrarme un CNR de más de 12 meses?,"No como cobro regular en la boleta. El excedente sobre 12 meses en conexiones irregulares puede acordarse directamente con el cliente o perseguirse judicialmente, pero no se factura como CNR normal."
CNR,"Recién me mudé y me llegó un cobro de CNR de meses anteriores, ¿corresponde?","Si se acredita que la ocupación del inmueble comenzó hace menos de 3 meses, el cobro debe limitarse exactamente a ese período, aunque la causa sea imputable al ocupante anterior."
Reclamos,¿Cuánto tiene la distribuidora para responder un reclamo de facturación?,"30 días corridos desde la recepción del reclamo (Art. 135, D.S. N°327/1997)."
Tarifas,¿Qué diferencia hay entre tarifas BT y AT?,"BT (Baja Tensión) es para empalmes ≤ 1 kV: hogares, locales, oficinas. AT (Alta Tensión) es para empalmes > 1 kV: plantas industriales, aeropuertos, grandes centros comerciales."
Tarifas,¿Qué es la tarifa BT1 y quién la usa?,"Es la tarifa más simple, sin medición de demanda. La usan clientes residenciales y pequeños comerciales; solo debería tener Cargo Fijo y Energía."
Tarifas,¿Qué es la Potencia Contratada?,"Una potencia fija que el cliente contrata de antemano en vez de que se le mida la demanda real. Aparece en BT2, BT4.1 y AT2."
Tarifas,¿Qué es la Demanda Facturada?,"La potencia máxima real registrada por el medidor en el período, usada para calcular el cargo de Demanda en BT3, BT4.2, BT4.3, AT3 y variantes AT4."
Tarifas,¿Por qué cambió el precio por kWh sin que cambiara mi consumo?,El pliego tarifario de la CNE se reajusta semestralmente (abril y octubre) por indexación de combustibles y componentes de generación/transmisión.
Tarifas,¿Qué es un cliente libre versus uno regulado?,"El cliente regulado paga el precio fijado por decreto según el pliego vigente. El cliente libre negoció su propio contrato de suministro (PPA), por lo que su estructura de cargos puede diferir del pliego regulado."
Facturación,¿Todos los cargos de mi boleta pagan IVA?,Casi todos los cargos de energía y potencia son afectos a IVA (19%). El Cargo por Servicio Público y algunos ajustes son exentos.
Institucional,¿Voltia Energía factura directamente la electricidad a los clientes finales?,No. Voltia asesora y audita la facturación emitida por las distribuidoras; no es distribuidora ni generadora de energía.
Privacidad,¿Cómo protege Voltia los datos de consumo de mis medidores?,"Los datos se usan solo para la asesoría contratada y se tratan conforme a la Ley N°19.628. No se comparten con terceros sin autorización, salvo requerimiento de autoridad competente."
Reclamos,¿Dónde presento un reclamo sobre mi facturación eléctrica?,"En contacto@voltiaenergia.cl o al +56 2 2555 0199. Si no queda conforme, puede recurrir a la Superintendencia de Electricidad y Combustibles (SEC)."
Tarifas,¿Qué señales indican que una tarifa está mal aplicada?,"Cargos de Demanda en una BT1/BT2 (nunca deberían tenerlos), inconsistencias entre kW/kWh contratados y su cargo en pesos, o cambios de tarifa homologada sin solicitud del cliente."
